quantity,wall_volume_ml,ref_cavity_volume_ml,body_surface_area_m2,phi_baseline,a_pas_kpa,b_pas,ca50_ref_um,clearance_l_per_h,heart_rate_bpm,total_blood_volume_ml,systemic_resistance_mmhg_s_per_ml
edv_ml,0.01597029410619796,0.3938265923584269,0.0,0.02026231161178194,0.24227598010129092,0.14972700362882826,0.09063041715486855,0.0,0.0859390978496987,0.04439945461092342,0.012628654791309023
esv_ml,0.23271916101411966,0.5467509248914062,0.0,0.06337091836655308,0.06307282034965572,0.0530962796551485,0.1248182165984988,0.0,0.0045510190152374215,0.019521641721143606,0.008548807965102448
stroke_volume_ml,0.07579168839914553,0.0970854600198325,0.0,0.012496624990143063,0.36899899859559593,0.2543606848461236,0.036953646458895074,0.0,0.15469117856708411,0.03650468982573337,0.05045064872622895
ejection_fraction,0.323475206805807,0.2737310496521893,0.0,0.05947720275520973,0.15707637281213638,0.1559995210753329,0.07173196047487236,0.0,0.04422245330179141,0.0025602192203349455,0.036886195256664714
wall_thickness_cm,0.9030306346221664,0.04963104972847562,0.0,0.0024590471114769876,0.022026465370197396,0.013553845108664782,0.011280749910630177,0.0,0.010976563424968536,0.004373003134296545,0.0012239562252953943
lv_mass_g,0.9981278354212275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peak_lvot_gradient_mmhg,0.721295020696038,0.3472573449738759,0.0,0.06315992519134606,0.017030858377032002,0.01679976793005485,0.07239266465838341,0.0,0.00324355900035314,0.00613266753964291,0.005578675777371321
end_diastolic_pressure_mmhg,0.015093628303109664,0.1511106902557937,0.0,0.006432411873026328,0.2949439349457418,0.1913813535566877,0.029863769038376717,0.0,0.05684187461968696,0.273041223956448,0.053075576671671204
e_over_e_prime,0.4430939927541042,0.08041594804246979,0.0,0.0074142200988133325,0.22873198681070572,0.30731120542189067,0.024736890025374825,0.0,0.002686586176307149,0.0190720212492338,0.009723881910575546
peak_strain_amplitude,0.2687253428771557,0.07024476006484441,0.0,0.03588880720957396,0.3262228368458398,0.26532327378878834,0.03618117734436674,0.0,0.12569625684634658,0.015252897074928943,0.061066805167788264
mean_arterial_pressure_mmhg,0.07821916134887567,0.06716205348816759,0.0,0.01278536127941138,0.30724514127418034,0.20185623770384925,0.034783267145035934,0.0,0.09010036070639638,0.08662052321885794,0.18233064023142126
cardiac_output_l_per_min,0.08392623839234914,0.11155242042402848,0.0,0.01482211158777585,0.3909356615242874,0.26485991322516006,0.04938655353634944,0.0,0.10160558243216121,0.039580931104072306,0.05776570359823408
heart_rate_bpm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9987102310381274,0.0,0.0
thickness_to_cavity_ratio,0.43927036390203905,0.3122555592521501,0.0,0.01672431125766701,0.10779517752022331,0.0663844879958424,0.07200724662079022,0.0,0.07380618395375903,0.022473977309955,0.0058905155884219395
stroke_volume_index_ml_per_m2,0.0666025542870717,0.0859720849495068,0.14030536556392237,0.011063253200747546,0.32884873348771676,0.22673453593600348,0.03245940913361953,0.0,0.13723883670269985,0.03220649853302732,0.04455657692437166
stroke_work_j,0.36254764696618935,0.013473615039761409,0.0,0.02154469201073529,0.33994136418784987,0.21720654839482842,0.018944332207826615,0.0,0.029192037688952312,0.030673046363828838,0.004155983540757946
atp_cost_per_stroke_work,0.05401133576865558,0.04157839670069389,0.0,0.025010166184662137,0.4359138960957523,0.3889396620873204,0.18102685745580807,0.0,0.02196034448723039,0.017498889532218988,0.013920709081522044
ef_at_mid_dose,0.2507805204844252,0.2508281238092857,0.0,0.14262458243455325,0.09734870122497605,0.09270091711437475,0.10515260885382027,0.07129416293840542,0.037688058180043636,0.002905975142851567,0.04011617522535029
ef_drop_at_mid_dose,0.11207526274145332,0.08165044321654949,0.0,0.22019374274567224,0.06668230718494705,0.060004778208881976,0.09990649798318768,0.5048915529247698,0.008004279408215218,0.005954435952454621,0.01129260982015165
ef_slope_per_mg,0.11207526274145299,0.08165044321654936,0.0,0.22019374274567244,0.06668230718494714,0.060004778208881775,0.09990649798318772,0.504891552924769,0.008004279408215216,0.005954435952454563,0.011292609820151648
