noise_level,parameter,median_ci90_width,median_abs_bias,n,recoverable
optimistic,ca50_ref_um,0.2819050342883607,0.04544029250353321,50,True
optimistic,phi_baseline,0.5128469299854486,0.08615130118364288,50,True
optimistic,b_pas,0.675895246553145,0.13499812891332297,50,False
optimistic,a_pas_kpa,0.9970955243596521,0.2398985875248737,50,False
optimistic,clearance_l_per_h,1.4225398907896323,0.3384228529388808,50,False
realistic,ca50_ref_um,0.34315097688084295,0.06082036476141938,50,True
realistic,phi_baseline,0.5482276716802686,0.09176221849752778,50,True
realistic,b_pas,0.7136478337844698,0.15961729912549003,50,False
realistic,a_pas_kpa,1.0050086076189013,0.21521793398416378,50,False
realistic,clearance_l_per_h,1.4442623489619333,0.3464558082514102,50,False
