quantity,parameter,group,S1,S1_conf,ST,ST_conf,n_imputed
edv_ml,wall_volume_ml,measured,0.001138919196019829,0.016849670417692263,0.01597029410619796,0.005476911767634614,0
edv_ml,ref_cavity_volume_ml,measured,0.3911843715344185,0.08769016871308137,0.3938265923584269,0.05865719086144802,0
edv_ml,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
edv_ml,phi_baseline,hidden,0.02909031463389948,0.023534492145716908,0.02026231161178194,0.005938052935781268,0
edv_ml,a_pas_kpa,hidden,0.20386581058756054,0.0691605830527705,0.24227598010129092,0.055209694109022586,0
edv_ml,b_pas,hidden,0.09375263610912977,0.04922422517547056,0.14972700362882826,0.03895714872483829,0
edv_ml,ca50_ref_um,hidden,0.0784459823782083,0.0413716140362487,0.09063041715486855,0.023669500058064563,0
edv_ml,clearance_l_per_h,hidden,0.0,0.0,0.0,0.0,0
edv_ml,heart_rate_bpm,loading,0.0567141957741471,0.03727869696736658,0.0859390978496987,0.021753952911022504,0
edv_ml,total_blood_volume_ml,loading,0.031343238550707496,0.03354927651617706,0.04439945461092342,0.008544053005531542,0
edv_ml,systemic_resistance_mmhg_s_per_ml,loading,0.0166787494020233,0.01564699132360331,0.012628654791309023,0.0032249346990342377,0
esv_ml,wall_volume_ml,measured,0.1696630300670773,0.06730353657693237,0.23271916101411966,0.04958106403928065,0
esv_ml,ref_cavity_volume_ml,measured,0.5026387017768383,0.10622566919671175,0.5467509248914062,0.09610615997272666,0
esv_ml,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
esv_ml,phi_baseline,hidden,0.06106882733505038,0.038413038851238444,0.06337091836655308,0.015505889087670987,0
esv_ml,a_pas_kpa,hidden,0.014224881456812588,0.0403635096339851,0.06307282034965572,0.02086054992828536,0
esv_ml,b_pas,hidden,-0.006722994644042998,0.026050376177393572,0.0530962796551485,0.019390400162640504,0
esv_ml,ca50_ref_um,hidden,0.11112959729258239,0.05009647943962451,0.1248182165984988,0.026879771285748352,0
esv_ml,clearance_l_per_h,hidden,0.0,0.0,0.0,0.0,0
esv_ml,heart_rate_bpm,loading,-0.005714707986130293,0.008812339240710499,0.0045510190152374215,0.001943506525367102,0
esv_ml,total_blood_volume_ml,loading,0.00891277683583223,0.017408772606484497,0.019521641721143606,0.007762332903224737,0
esv_ml,systemic_resistance_mmhg_s_per_ml,loading,-0.0012571426553485258,0.012671410427567656,0.008548807965102448,0.0017350611623021123,0
stroke_volume_ml,wall_volume_ml,measured,0.06456453654556833,0.038949661555448906,0.07579168839914553,0.013314860959624596,0
stroke_volume_ml,ref_cavity_volume_ml,measured,0.0775758758213741,0.04658056010305197,0.0970854600198325,0.019479614411079038,0
stroke_volume_ml,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
stroke_volume_ml,phi_baseline,hidden,0.012896551710918972,0.014822297057378104,0.012496624990143063,0.004737871844004007,0
stroke_volume_ml,a_pas_kpa,hidden,0.3420903648163917,0.0738325512842902,0.36899899859559593,0.05669997218094783,0
stroke_volume_ml,b_pas,hidden,0.21482715292710253,0.07672257424239096,0.2543606848461236,0.04271057522081704,0
stroke_volume_ml,ca50_ref_um,hidden,0.021978686542773403,0.02847585340815619,0.036953646458895074,0.012577153014000052,0
stroke_volume_ml,clearance_l_per_h,hidden,0.0,0.0,0.0,0.0,0
stroke_volume_ml,heart_rate_bpm,loading,0.11359723742409054,0.046994908535537415,0.15469117856708411,0.03015431104533135,0
stroke_volume_ml,total_blood_volume_ml,loading,0.02579719838771663,0.027130741762502093,0.03650468982573337,0.006313226875296395,0
stroke_volume_ml,systemic_resistance_mmhg_s_per_ml,loading,0.044046278940774786,0.028601345346517346,0.05045064872622895,0.010613338859795082,0
ejection_fraction,wall_volume_ml,measured,0.2846795138403617,0.08523019072547164,0.323475206805807,0.05106881174810025,0
ejection_fraction,ref_cavity_volume_ml,measured,0.234917692826317,0.06672304612753328,0.2737310496521893,0.04443705870621744,0
ejection_fraction,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
ejection_fraction,phi_baseline,hidden,0.048588731135323436,0.03136828852107467,0.05947720275520973,0.010375540634753962,0
ejection_fraction,a_pas_kpa,hidden,0.11105606588406172,0.05549747483382276,0.15707637281213638,0.03483794315164257,0
ejection_fraction,b_pas,hidden,0.09929481422922681,0.05188032715417853,0.1559995210753329,0.030837677884691668,0
ejection_fraction,ca50_ref_um,hidden,0.061294043055796915,0.038511618116521394,0.07173196047487236,0.013490999051018946,0
ejection_fraction,clearance_l_per_h,hidden,0.0,0.0,0.0,0.0,0
ejection_fraction,heart_rate_bpm,loading,0.03895640765588407,0.027274677338758598,0.04422245330179141,0.007508019029758353,0
ejection_fraction,total_blood_volume_ml,loading,0.001583729098456411,0.007523345346550897,0.0025602192203349455,0.0010779478683510982,0
ejection_fraction,systemic_resistance_mmhg_s_per_ml,loading,0.021748529996114766,0.026130645119199342,0.036886195256664714,0.006212818107544774,0
wall_thickness_cm,wall_volume_ml,measured,0.8812405129357481,0.1094244391733984,0.9030306346221664,0.10732480750052155,0
wall_thickness_cm,ref_cavity_volume_ml,measured,0.044382858118153144,0.030619096744985478,0.04963104972847562,0.007949455927121684,0
wall_thickness_cm,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
wall_thickness_cm,phi_baseline,hidden,0.006910069932869432,0.00812931595846799,0.0024590471114769876,0.0006571718368553154,0
wall_thickness_cm,a_pas_kpa,hidden,0.019933666846714285,0.02326540189237893,0.022026465370197396,0.0051034511350538285,0
wall_thickness_cm,b_pas,hidden,0.008927039504387422,0.018839194597009126,0.013553845108664782,0.0026898430975176367,0
wall_thickness_cm,ca50_ref_um,hidden,0.006290039709612393,0.012591496252125358,0.011280749910630177,0.0031115361769489627,0
wall_thickness_cm,clearance_l_per_h,hidden,0.0,0.0,0.0,0.0,0
wall_thickness_cm,heart_rate_bpm,loading,0.005715746039395046,0.015207643505714984,0.010976563424968536,0.002568039644945707,0
wall_thickness_cm,total_blood_volume_ml,loading,0.003033256623651824,0.00853290555461469,0.004373003134296545,0.000807863981740249,0
wall_thickness_cm,systemic_resistance_mmhg_s_per_ml,loading,0.0017592903702115358,0.005070128390997722,0.0012239562252953943,0.0003090716487963737,0
lv_mass_g,wall_volume_ml,measured,1.0004023020271504,0.10590929866106757,0.9981278354212275,0.09081347589528914,0
lv_mass_g,ref_cavity_volume_ml,measured,0.0,0.0,0.0,0.0,0
lv_mass_g,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
lv_mass_g,phi_baseline,hidden,0.0,0.0,0.0,0.0,0
lv_mass_g,a_pas_kpa,hidden,0.0,0.0,0.0,0.0,0
lv_mass_g,b_pas,hidden,0.0,0.0,0.0,0.0,0
lv_mass_g,ca50_ref_um,hidden,0.0,0.0,0.0,0.0,0
lv_mass_g,clearance_l_per_h,hidden,0.0,0.0,0.0,0.0,0
lv_mass_g,heart_rate_bpm,loading,0.0,0.0,0.0,0.0,0
lv_mass_g,total_blood_volume_ml,loading,0.0,0.0,0.0,0.0,0
lv_mass_g,systemic_resistance_mmhg_s_per_ml,loading,0.0,0.0,0.0,0.0,0
peak_lvot_gradient_mmhg,wall_volume_ml,measured,0.5024073068349714,0.11521907777395857,0.721295020696038,0.14535085816387816,0
peak_lvot_gradient_mmhg,ref_cavity_volume_ml,measured,0.17066458908159657,0.07717223466045267,0.3472573449738759,0.0682839702140016,0
peak_lvot_gradient_mmhg,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
peak_lvot_gradient_mmhg,phi_baseline,hidden,0.04050531619752379,0.04192847435598053,0.06315992519134606,0.01719555019861859,0
