patient_id,condition,noise_level,condition_number,eigenvalue_0,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvalue_4,invisible_weight_phi_baseline,invisible_weight_a_pas_kpa,invisible_weight_b_pas,invisible_weight_ca50_ref_um,invisible_weight_clearance_l_per_h
20,rest@0,optimistic,1.403411062782346e+303,1403.411062782346,14.22171675612988,1.3046461586948648,0.03456424851547551,0.0,0.0,0.0,0.0,0.0,1.0
137,rest@0,optimistic,3.470361014820703e+302,347.0361014820703,155.66201976227876,1.8131096854407855,0.39474480144315405,0.0,0.0,0.0,0.0,0.0,1.0
221,rest@0,optimistic,5.62089128753622e+302,562.089128753622,39.417535049788505,1.903658264947649,0.27214944255332135,0.0,0.0,0.0,0.0,0.0,1.0
222,rest@0,optimistic,4.438118883395768e+302,443.81188833957685,151.20118056969076,4.572517230336378,0.6577865416185084,0.0,0.0,0.0,0.0,0.0,1.0
436,rest@0,optimistic,8.768188313727993e+302,876.8188313727993,18.035540930073278,1.766910439585369,0.2351887542019855,0.0,0.0,0.0,0.0,0.0,1.0
502,rest@0,optimistic,1.1359308004018655e+303,1135.9308004018656,90.21067983431129,3.756195222315755,0.15100650378306543,0.0,0.0,0.0,0.0,0.0,1.0
505,rest@0,optimistic,1.0585030757525981e+303,1058.503075752598,95.31809586402751,3.77076139193454,0.20445041496477204,0.0,0.0,0.0,0.0,0.0,1.0
600,rest@0,optimistic,3.0813184972391907e+302,308.13184972391906,72.32171375233442,1.4413181672353281,0.8185020584185749,0.0,0.0,0.0,0.0,0.0,1.0
960,rest@0,optimistic,1.5936702168612428e+303,1593.6702168612428,8.883980393434205,0.6073549597445804,0.0008598722507555294,0.0,0.0,0.0,0.0,0.0,1.0
1635,rest@0,optimistic,2.34709881088083e+303,2347.09881088083,116.13150815867111,0.5964560303411333,0.05940304697365647,0.0,0.0,0.0,0.0,0.0,1.0
1680,rest@0,optimistic,3.4511783892327144e+302,345.11783892327145,203.3868143144252,0.7977969637258195,0.004233050408509326,0.0,0.0,0.0,0.0,0.0,1.0
1728,rest@0,optimistic,2.4629837796734884e+302,246.29837796734884,197.5161497594432,2.400522691510134,0.6610056120030097,0.0,0.0,0.0,0.0,0.0,1.0
