noise_level,patient_id,parameter,truth,posterior_median,relative_bias,relative_ci90_width
optimistic,20,phi_baseline,0.3867512782849371,0.5093567089674005,0.31701364046206054,0.6547488974476409
optimistic,20,a_pas_kpa,1.5596089508384463,1.1106011106728588,-0.28789770661690595,1.5067945679408135
optimistic,20,b_pas,8.056183720007539,10.284845734689513,0.2766399193636921,1.4478866772865309
optimistic,20,ca50_ref_um,0.4925723560154438,0.5465058059084054,0.10949345661466751,0.2822638880216576
optimistic,20,clearance_l_per_h,1.0458421013504269,0.6296185867466811,-0.3979793068822758,0.8345173855579964
optimistic,137,phi_baseline,0.4979328468255699,0.5634255751667738,0.13152923884964476,0.3032913222863196
optimistic,137,a_pas_kpa,4.073386278282851,2.6444810244332517,-0.35079051094853664,0.9677220813976338
optimistic,137,b_pas,9.367073385044932,13.361820163228153,0.42646690315900176,1.1700866568978685
optimistic,137,ca50_ref_um,0.4642824044916779,0.4826499979736406,0.039561252600284445,0.19380287619673892
optimistic,137,clearance_l_per_h,0.4011744030192494,0.6087606554899192,0.5174464046269405,2.1796246730440694
optimistic,221,phi_baseline,0.5202198447473347,0.47631819338078996,-0.0843905741194232,0.566860916398617
optimistic,221,a_pas_kpa,2.070633212476969,3.518793030457326,0.6993801747476147,2.0481056509643034
optimistic,221,b_pas,17.343064410611987,11.597399335021532,-0.33129468585002547,0.6233920208797503
optimistic,221,ca50_ref_um,0.6345564753748477,0.5937797097126594,-0.06426026247403832,0.313813294948501
optimistic,221,clearance_l_per_h,0.3616934844478965,0.5983103984717499,0.6541918065929084,2.4013889840648615
optimistic,222,phi_baseline,0.5202198447473347,0.36286721377726416,-0.30247333422371664,0.5494045955951662
optimistic,222,a_pas_kpa,2.070633212476969,3.6549022143192404,0.7651132959212558,1.749478352075475
optimistic,222,b_pas,17.343064410611987,11.762433132585375,-0.321778847492021,0.5635761606734575
optimistic,222,ca50_ref_um,0.6345564753748477,0.5626850662586953,-0.11326243117083669,0.3334326589993179
optimistic,222,clearance_l_per_h,0.3616934844478965,0.5958216218751047,0.6473109068707467,2.425135021373777
optimistic,436,phi_baseline,0.4855785038881004,0.5186289061746208,0.06806397322344539,0.45786427470733904
optimistic,436,a_pas_kpa,0.9034140110015868,2.1513562626272913,1.3813625164415482,4.050417218590841
optimistic,436,b_pas,17.524496847763658,10.160401876773665,-0.42021719852856954,0.6636494703961706
optimistic,436,ca50_ref_um,0.4791432001627981,0.48563641310369177,0.013551716770033412,0.22292249560192554
optimistic,436,clearance_l_per_h,0.4571758197899908,0.5993497397610609,0.31098302625974267,1.907586432481857
optimistic,502,phi_baseline,0.5141289888136089,0.5308429796314813,0.03250933361380998,0.4457416797290842
optimistic,502,a_pas_kpa,1.6359125044196845,1.477556411182741,-0.09679985501004401,2.16325179752075
optimistic,502,b_pas,13.653076229617,15.607916272323067,0.14317945712963362,0.8352490803832457
optimistic,502,ca50_ref_um,0.5152924370020628,0.5457490152614194,0.059105424555716164,0.2425463920495122
optimistic,502,clearance_l_per_h,0.7685960501339287,0.6004524332838823,-0.21876721435238602,1.13263013156764
optimistic,505,phi_baseline,0.5141289888136089,0.5351852213433894,0.04095515520019467,0.3812370517020925
optimistic,505,a_pas_kpa,1.6359125044196845,3.035292939675381,0.8554127628922954,2.310729264460109
optimistic,505,b_pas,13.653076229617,13.52994200089959,-0.009018790098769115,0.7111255492116125
optimistic,505,ca50_ref_um,0.5152924370020628,0.5011230900617184,-0.02749768077866766,0.1915568649743359
optimistic,505,clearance_l_per_h,1.0869577725790442,0.6160979496942199,-0.43319053855018375,0.8009014067903992
optimistic,600,phi_baseline,0.5500928639061748,0.5254780972151556,-0.0447465660910984,0.4134508678375335
optimistic,600,a_pas_kpa,4.805599041283131,4.977656308197795,0.03580350034128601,0.2825547650281319
optimistic,600,b_pas,18.697265718132257,18.25270774580807,-0.023776630178233123,0.21776885265672616
