label,time_s,cavity_volume_ml,lv_pressure_mmhg,arterial_pressure_mmhg,venous_pressure_mmhg,aortic_flow_ml_per_s,mitral_flow_ml_per_s,lvot_gradient_mmhg,attached_fraction,parked_fraction,calcium_um
healthy,0.0,112.96507608833173,9.576501177236485,79.54327042161209,9.72075761299518,0.0,48.11015014035041,0.0,0.008274972841130088,0.6039528964823379,0.1
healthy,0.002307692307692308,113.06700148293612,9.721113032922757,79.45219573430313,9.724284384583237,0.0,34.92233676529596,0.0,0.008618299433502561,0.6038767912213832,0.15025868665490802
healthy,0.004615384615384616,113.11269597928307,10.332168731664142,79.3612466094731,9.73154565230751,0.0,6.33403305547468,0.0,0.010198536541565896,0.6036601618928694,0.19843058316928874
healthy,0.006923076923076923,113.11689405074328,11.63076765260635,79.27042775357017,9.74155858454583,0.0,0.09197298139347755,0.0,0.013591794422512465,0.6030794486368783,0.24458067372866968
healthy,0.009230769230769232,113.11693568212105,13.773993003342573,79.1797406968612,9.751833675547662,0.0,7.521382460842756e-05,0.0,0.019199935544277815,0.6018494869042504,0.28877214371367943
healthy,0.011538461538461539,113.11693571220547,16.810218113182422,79.0891853292233,9.762096615207662,0.0,3.131620229290308e-09,0.0,0.027166387379863103,0.5996666579406634,0.3310664263801415
healthy,0.013846153846153847,113.1169357122067,20.689684309024138,78.99876145970266,9.772344653753255,0.0,0.0,0.0,0.037379506511154785,0.5962558485113791,0.37152324837624606
healthy,0.016153846153846158,113.1169357122067,25.29356048689231,78.90846889734706,9.782577810820221,0.0,0.0,0.0,0.04954204575051729,0.5914063328834783,0.41020067412496586
healthy,0.018461538461538463,113.1169357122067,30.4698054054165,78.8183074514815,9.792796108018319,0.0,0.0,0.0,0.06326353916516522,0.5849911492478929,0.4471551490992157
healthy,0.02076923076923077,113.1169357122067,36.063617445551806,78.72827693170787,9.802999566925997,0.0,0.0,0.0,0.07814041517217046,0.5769700590317903,0.4824415420166005
healthy,0.023076923076923078,113.1169357122067,41.936828173567235,78.6383771479045,9.813188209090379,0.0,0.0,0.0,0.09380817223587774,0.5673804515870792,0.5161131859799593
healthy,0.025384615384615387,113.1169357122067,47.97663777234737,78.54860791022587,9.82336205602729,0.0,0.0,0.0,0.10996588432251944,0.5563217314412009,0.5482219185892926
healthy,0.027692307692307693,113.1169357122067,54.096799490221116,78.4589690291021,9.833521129221317,0.0,0.0,0.0,0.12638071248295255,0.5439378259122132,0.5788181210500501
healthy,0.030000000000000002,113.1169357122067,60.234605899766024,78.36946031523857,9.843665450125851,0.0,0.0,0.0,0.1428810331872289,0.530400824060401,0.607950756302162
healthy,0.032307692307692315,113.1169357122067,66.34619937097324,78.2800815796156,9.853795040163122,0.0,0.0,0.0,0.15934479672747906,0.5158972521708067,0.6356674061936188
healthy,0.03461538461538462,113.11693571212531,72.4017375729487,78.19083263353582,9.863909920724252,2.08159649185604e-07,0.0,8.559099170187404e-19,0.1756872073167242,0.5006174267049777,0.6620143077218373
healthy,0.036923076923076927,113.09613099985019,78.33118236451888,78.11395135134315,9.874010113524433,48.29051339755585,0.0,0.04606367771258313,0.19184980212380354,0.4847477125105262,0.6870363883654973
healthy,0.039230769230769236,112.56464930902001,82.88489161688541,78.33742340209315,9.884115393828107,351.39589918338135,0.0,2.4390928980325355,0.20776859686276433,0.46861935805623833,0.7107773005289932
healthy,0.04153846153846154,111.59764596902197,86.08468345423368,78.81661186187313,9.89427425771958,473.43463529175705,0.0,4.427463780619043,0.22334750598743072,0.452760084516991,0.733279455121119
healthy,0.04384615384615385,110.42088622886385,88.41849252384542,79.4184858802926,9.904512518309248,540.0002430567679,0.0,5.760005185212216,0.23850771817057032,0.4374675839054511,0.7545840542890865
healthy,0.046153846153846156,109.12806692415391,90.11373177002092,80.08780953710342,9.914843790851352,576.5673990038252,0.0,6.566517838894542,0.25318541332838995,0.4229040053178722,0.774731123328478
healthy,0.048461538461538466,107.77420729586883,91.333638402663,80.79215349570832,9.9252754507618,594.267539357984,0.0,6.975879670806776,0.2673292151225122,0.40915139757779406,0.7937595417892398
healthy,0.050769230769230775,106.3947970369967,92.20963480003682,81.5106105059574,9.935811006858382,599.5929770374587,0.0,7.101466431854666,0.28089985268534107,0.39623838411867973,0.811707073797345
healthy,0.053076923076923084,105.01304477765382,92.84941639220602,82.22951971821324,9.946451446758912,596.9228931232943,0.0,7.038359315253015,0.2938697674208146,0.38415775034736754,0.8286103976112855
healthy,0.055384615384615386,103.64357056278801,93.33905952087966,82.94028673323749,9.957196132713884,589.4102946061893,0.0,6.862311020005034,0.30622233661808473,0.3728793093717213,0.8445051344320941
healthy,0.057692307692307696,102.29475648765394,93.74409573684846,83.6379952220652,9.968043442322347,579.3481904048879,0.0,6.630011372353941,0.31795073472572893,0.36235951750759104,0.8594258764851535
healthy,0.060000000000000005,100.97050159386049,94.11119842455791,84.32037053604833,9.97899123299049,568.3518236332202,0.0,6.380716946710264,0.3290565506786971,0.35254850999918574,0.8734062143916108
healthy,0.062307692307692314,99.67163821588748,94.47083816174506,84.98694367717125,9.990037168861427,557.4825783105084,0.0,6.138999014710759,0.3395482983875056,0.34339499134363155,0.88647876384679
healthy,0.06461538461538463,98.39708013084825,94.84063602260906,85.63837401733905,10.001178935978356,547.3606753211284,0.0,5.918097953343244,0.3494399425921153,0.33484936380046193,0.8986751916225797
healthy,0.06692307692307692,97.14471127091484,95.22889550818623,86.27592541194603,10.012414368585127,538.277248961895,0.0,5.723306602468858,0.3587495322903118,0.32686547848217523,0.9100262409103679
healthy,0.06923076923076923,95.91202130480896,95.63781630350242,86.90109179954645,10.02374150906414,530.2999728902214,0.0,5.554924666614707,0.367497999617833,0.3194013870687964,0.9205617560206975
healthy,0.07153846153846154,94.69651406716602,96.06607265778298,87.51535681948855,10.035158622646895,523.3627395693034,0.0,5.410539400878745,0.37570815047502315,0.3124194366073356,0.9303107064554276
healthy,0.07384615384615385,93.49593361707716,96.5106552898006,88.12006094694847,10.046664184874029,517.3333787819005,0.0,5.286594070160935,0.3834038484865547,0.305885986958354,0.9393012103678131
healthy,0.07615384615384616,92.30836029125155,96.96804227025812,88.71634522182944,10.058256855442558,512.0588662108744,0.0,5.179343851163776,0.39060937746251906,0.2997709547774364,0.9475605574255375
healthy,0.07846153846153847,91.13222520903692,97.43484985093718,89.30514298640996,10.069935447604411,507.39158162060403,0.0,5.0853573748041105,0.39734895875357706,0.2940473155765747,0.9551152310913812
healthy,0.08076923076923079,89.96628103122664,97.90812993966232,89.88719734794216,10.08169889848478,503.2018871520883,0.0,5.001721268808356,0.40364639698103366,0.28869063706724113,0.9619909303358488
healthy,0.08307692307692308,88.80955454123584,98.38545561010885,90.46308930286015,10.093546242926793,499.38209971524816,0.0,4.926073708958223,0.4095248285229833,0.28367867621986836,0.9682125907957411
healthy,0.08538461538461539,87.66129611793203,98.86489632115749,91.03326765078198,10.105476591715908,495.8457863445714,0.0,4.85655395230946,0.4150065500774639,0.27899104765352156,0.973804405392315
healthy,0.0876923076923077,86.52093363865932,99.3449469661854,91.59807626483196,10.117489114075092,492.5249882690182,0.0,4.791720771741166,0.4201129083315018,0.27460895808459834,0.9787898444223545
healthy,0.09000000000000001,85.39372382628002,99.50497508638867,92.15442989140519,10.129583023888744,476.764297309185,0.0,4.489959411135228,0.4248642354649593,0.27052186569638476,0.9831916751351478
healthy,0.09230769230769231,84.3209679204389,99.51797750436361,92.67806194288688,10.141755118443562,455.8558128823678,0.0,4.104780684220135,0.4292783888816234,0.2667583039577895,0.98703198080806
healthy,0.09461538461538463,83.28381110578493,99.74433392833738,93.18010153622846,10.154001085508446,444.2628032638822,0.0,3.898655572619909,0.43337240151616846,0.26327303540066715,0.9903321793330806
healthy,0.09692307692307693,82.26813917714634,100.05155985948016,93.66887304494347,10.166318443096651,436.50373484657996,0.0,3.7636644056298945,0.43716402274514393,0.26003333119093436,0.9931130413264304
healthy,0.09923076923076923,81.26827096862453,100.38617914832393,94.14773314269195,10.178705512586612,430.2653135621669,0.0,3.656854124538268,0.4406704865527454,0.2570192541387073,0.9953947077730194
healthy,0.10153846153846155,80.28196787525705,100.72744237094147,94.61801065079653,10.191160934559255,424.6282493222162,0.0,3.5616622246409917,0.44390809168074746,0.2542161670800424,0.9971967072172627
healthy,0.10384615384615385,79.30833459333246,101.0674958280175,95.08024309418248,10.203683476437156,419.2385485243373,0.0,3.471821443334185,0.44689210083009606,0.2516117983398276,0.9985379725114893
healthy,0.10615384615384617,78.34698828491308,101.40340738680266,95.53466608075483,10.216271958520247,413.9615879758543,0.0,3.3849717791504386,0.449636752796892,0.24919512122735749,0.9994368571328986
healthy,0.10846153846153847,77.3977410060011,101.73408206306179,95.98140035598271,10.22892522592189,408.745662406646,0.0,3.30020773404934,0.45215531178861035,0.24695592566267632,0.9999111510797642
healthy,0.11076923076923077,76.4604807982873,102.05910182056296,96.42052184373114,10.241642137824648,403.56998112462617,0.0,3.2171600921467878,0.454460126735142,0.24488464660487622,0.9999780963573207
healthy,0.11307692307692307,75.53512747495951,102.37829845725895,96.85208769257301,10.254421563177761,398.4253141368334,0.0,3.1356588828648766,0.4565626911304641,0.24297228598006904,0.9996544020635202
healthy,0.11538461538461539,74.62161593353153,102.69159864661162,97.27614610855429,10.267262378795078,393.3068967866096,0.0,3.05561116167729,0.4584737002782853,0.24121036842308477,0.9989562590845964
