pair,maneuver,before,after,snr
a_pas_kpa / b_pas,tachycardia,0.4074081579486698,0.4149486249351698,0.41700174636034937
a_pas_kpa / b_pas,exercise,0.4074081579486698,0.4169869315561117,0.5100563918339379
a_pas_kpa / b_pas,afterload_increase,0.4074081579486698,0.4382699096783096,0.4641224930030332
a_pas_kpa / b_pas,preload_reduction,0.4074081579486698,0.4450604623361828,0.3111613121729186
a_pas_kpa / ca50_ref_um,tachycardia,0.35237980090304616,0.3555474540488987,1.784697877528978
a_pas_kpa / ca50_ref_um,exercise,0.35237980090304616,0.36409601578684875,2.63492681461672
a_pas_kpa / ca50_ref_um,afterload_increase,0.35237980090304616,0.3669122285038323,1.4080628875480723
a_pas_kpa / ca50_ref_um,preload_reduction,0.35237980090304616,0.368972688773914,1.2005252592397722
phi_baseline / ca50_ref_um,exercise,0.17752040237952835,0.161015461680258,1.175718152299267
phi_baseline / ca50_ref_um,tachycardia,0.17752040237952835,0.1703742134432486,0.8358476447423466
phi_baseline / ca50_ref_um,preload_reduction,0.17752040237952835,0.17939004912163115,0.47313739510031994
phi_baseline / ca50_ref_um,afterload_increase,0.17752040237952835,0.18530276485480146,0.5054071257812989
